"model","label_name","label_id","SegmentedPropertyCategoryCodeSequence.CodingSchemeDesignator","SegmentedPropertyCategoryCodeSequence.CodeValue","SegmentedPropertyCategoryCodeSequence.CodeMeaning","SegmentedPropertyTypeCodeSequence.CodingSchemeDesignator","SegmentedPropertyTypeCodeSequence.CodeValue","SegmentedPropertyTypeCodeSequence.CodeMeaning","SegmentedPropertyTypeModifierCodeSequence.CodingSchemeDesignator","SegmentedPropertyTypeModifierCodeSequence.CodeValue","SegmentedPropertyTypeModifierCodeSequence.CodeMeaning","AnatomicRegionSequence.CodingSchemeDesignator","AnatomicRegionSequence.CodeValue","AnatomicRegionSequence.CodeMeaning","AnatomicRegionModifierSequence.CodingSchemeDesignator","AnatomicRegionModifierSequence.CodeValue","AnatomicRegionModifierSequence.CodeMeaning","recommendedDisplayRGBValue"
"total","autochthon","","SCT","123037004","Anatomical Structure","SCT","244849004","Deep muscle of back","","","","","","","","","",""
"total","iliopsoas","","SCT","123037004","Anatomical Structure","SCT","68455001","Iliopsoas muscle","","","","","","","","","",""
"total","lung_vessels","","SCT","123037004","Anatomical Structure","SCT","59820001","Blood vessel","","","","SCT","39607008","Lung","","","",""
"total","lung_trachea_bronchia","","SCT","123037004","Anatomical Structure","SCT","110726009","Trachea and bronchus","","","","","","","","","",""
"total","body_trunc","","SCT","123037004","Anatomical Structure","SCT","22943007","Trunk","","","","","","","","","",""
"total","body_extremities","","SCT","123037004","Anatomical Structure","SCT","66019005","Limb","","","","","","","","","",""
"total","vertebrae_body","","SCT","123037004","Anatomical Structure","SCT","3572006","Vertebral body","","","","","","","","","",""
"total","lung_pleural","","SCT","123037004","Anatomical Structure","SCT","3120008","Pleural membrane","","","","","","","","","",""
"total","pleural_effusion","","SCT","49755003","Morphologically Altered Structure","SCT","41699000","Effusion","","","","SCT","91381003","Pleural cavity","","","",""
"total","pericardial_effusion","","SCT","49755003","Morphologically Altered Structure","SCT","41699000","Effusion","","","","SCT","25489000","Pericardial cavity","","","",""
"total","liver_vessels","","SCT","123037004","Anatomical Structure","SCT","59820001","Blood vessel","","","","SCT","10200004","Liver","","","",""
"total","liver_tumor","","SCT","49755003","Morphologically Altered Structure","SCT","108369006","Neoplasm","","","","SCT","10200004","Liver","","","",""
"total","costal_cartilages","","SCT","123037004","Anatomical Structure","SCT","50016007","Costal cartilage","","","","","","","","","",""
